	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
pv_scie	-0.000360***	-0.000268***	-0.000411***	-0.00122***	-0.000922***	-0.000391***	-0.000728***	-0.000401***	-0.00130***	-0.000889***	-0.000488***	-0.000336***	-1.55e-05	-0.00179***	-0.000633***	-0.000138***	-0.000415***	-0.000154***	-0.000868***	-0.000497***	-0.000499***	-0.000188**	-0.000416***	-0.000801***	-0.000349***	-0.000328***	-0.000403***	-0.000629***	-0.000363***	-0.000353***	-0.000415***	-0.000876***	-0.00122***	-0.000505***	-0.000411***	-0.000299***	-0.00134***	-0.000540***	-0.000733***	-0.00107***	-0.000236**	-0.000432***	-0.000761***	-0.000283***	-0.000463***	-0.000298***	-0.000772***	-0.000887***	-0.00137***	-0.000954***	-0.000458***	-0.000676***	-0.000996***	0.000158**	-0.000472***
	(3.78e-05)	(5.37e-05)	(5.12e-05)	(6.70e-05)	(7.11e-05)	(4.43e-05)	(7.54e-05)	(5.24e-05)	(9.05e-05)	(0.000106)	(6.37e-05)	(5.59e-05)	(6.69e-05)	(0.000143)	(7.38e-05)	(4.70e-05)	(5.17e-05)	(5.79e-05)	(7.13e-05)	(6.33e-05)	(8.24e-05)	(7.58e-05)	(7.19e-05)	(7.50e-05)	(7.53e-05)	(5.94e-05)	(6.76e-05)	(6.63e-05)	(6.23e-05)	(5.23e-05)	(8.66e-05)	(9.03e-05)	(8.02e-05)	(8.49e-05)	(5.79e-05)	(6.59e-05)	(9.18e-05)	(7.79e-05)	(7.14e-05)	(5.32e-05)	(9.34e-05)	(5.75e-05)	(6.45e-05)	(5.75e-05)	(6.83e-05)	(5.32e-05)	(9.08e-05)	(5.04e-05)	(0.000131)	(8.25e-05)	(5.43e-05)	(5.97e-05)	(7.82e-05)	(7.87e-05)	(4.21e-05)
urban_dummy	0.00986	0.0100	0.0168	0.00344	0.00350	0.00452	-0.0208*	-0.00237	0.00571	-0.00611	0.00980	-0.00955	0.0176	-0.0406*	-0.0293**	0.00450	0.00729	0.00190	-0.0122		-0.00249	-0.0237**	0.00128	-0.0218	-0.00467	0.0298**	0.0126	0.0549***	0.00247	0.00539	0.0291	0.00810	0.00289	-0.0345**	0.0124	0.00342	0.0160	-0.00594	-0.0119	-0.00200	-0.0253*		-0.0207	-0.00386	-0.00209	-0.00300	-0.0352	-0.0522***	-0.0219	-0.0180	0.0205	0.0296**	0.0344**	-0.0361*	0.00277
	(0.00835)	(0.0106)	(0.0103)	(0.0126)	(0.0150)	(0.00805)	(0.0124)	(0.0103)	(0.0132)	(0.0185)	(0.0105)	(0.00780)	(0.0175)	(0.0213)	(0.0140)	(0.00840)	(0.00903)	(0.0134)	(0.0115)		(0.0135)	(0.0118)	(0.0111)	(0.0146)	(0.0138)	(0.0119)	(0.0145)	(0.0125)	(0.00974)	(0.00819)	(0.114)	(0.0145)	(0.0124)	(0.0151)	(0.0117)	(0.0139)	(0.0147)	(0.0161)	(0.0122)	(0.00994)	(0.0137)		(0.0160)	(0.0124)	(0.0125)	(0.0102)	(0.0250)	(0.0156)	(0.0155)	(0.0131)	(0.0131)	(0.0116)	(0.0143)	(0.0206)	(0.00633)
o.urban_dummy																				-																						-													
																																																							
Constant	0.284***	0.211***	0.327***	0.729***	0.689***	0.320***	0.453***	0.395***	0.748***	0.579***	0.336***	0.243***	0.116***	0.997***	0.581***	0.165***	0.298***	0.157***	0.585***	0.404***	0.431***	0.194***	0.388***	0.587***	0.318***	0.352***	0.431***	0.407***	0.330***	0.263***	0.430***	0.519***	0.781***	0.503***	0.312***	0.321***	0.754***	0.447***	0.551***	0.805***	0.386***	0.367***	0.505***	0.261***	0.398***	0.232***	0.689***	0.758***	0.766***	0.567***	0.357***	0.497***	0.614***	0.442***	0.405***
	(0.0199)	(0.0281)	(0.0279)	(0.0294)	(0.0338)	(0.0253)	(0.0370)	(0.0269)	(0.0402)	(0.0463)	(0.0331)	(0.0305)	(0.0345)	(0.0501)	(0.0415)	(0.0271)	(0.0274)	(0.0309)	(0.0360)	(0.0349)	(0.0419)	(0.0376)	(0.0368)	(0.0421)	(0.0384)	(0.0344)	(0.0356)	(0.0341)	(0.0297)	(0.0277)	(0.118)	(0.0394)	(0.0353)	(0.0473)	(0.0314)	(0.0342)	(0.0392)	(0.0394)	(0.0366)	(0.0234)	(0.0441)	(0.0331)	(0.0319)	(0.0306)	(0.0346)	(0.0284)	(0.0383)	(0.0253)	(0.0527)	(0.0403)	(0.0285)	(0.0321)	(0.0359)	(0.0398)	(0.0209)
