	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q01ta_binary_pv_scie	0.996***	0.998***	0.995***	0.991***	0.995***	0.997***	0.992***	0.997***	0.988***	0.992***	0.996***	0.995***	0.998***	0.990***	0.997***	0.999***	0.994***	1.001***	0.993***	0.997***	0.997***	0.998***	0.998***	0.996***	0.997***	0.999***	0.997***	0.995***	0.997***	0.998***	0.998***	0.991***	0.993***	0.999***	0.996***	0.998***	0.990***	0.998***	0.998***	0.994***	0.998***	0.996***	0.993***	1.000***	0.996***	0.997***	0.995***	0.995***	0.992***	0.991***	0.997***	0.997***	0.990***	1.000***	0.996***
	(0.000384)	(0.000536)	(0.000422)	(0.000455)	(0.000356)	(0.000432)	(0.000776)	(0.000400)	(0.000609)	(0.000690)	(0.000621)	(0.000686)	(0.000623)	(0.000814)	(0.000402)	(0.000536)	(0.000566)	(0.000574)	(0.000497)	(0.000537)	(0.000523)	(0.000768)	(0.000486)	(0.000459)	(0.000532)	(0.000333)	(0.000415)	(0.000669)	(0.000520)	(0.000443)	(0.000514)	(0.000811)	(0.000485)	(0.000455)	(0.000686)	(0.000436)	(0.000632)	(0.000472)	(0.000424)	(0.000262)	(0.000540)	(0.000568)	(0.000489)	(0.000525)	(0.000474)	(0.000625)	(0.000501)	(0.000338)	(0.000761)	(0.000572)	(0.000508)	(0.000459)	(0.000584)	(0.000320)	(0.000290)
st093q01ta_binary_urban_du_y	1.131***	1.189***	1.056***	0.954***	0.947***	1.062***	0.843***	0.963***	0.923***	0.916***	0.817***	0.881***	1.134***	0.852***	1.043***	1.151***	1.040***	1.002***	0.869***		0.858***	0.766***	1.027***	1.016***	1.131***	1.071***	1.164***	1.347***	1.016***	0.897***	0.894*	1.050***	1.163***	0.811***	1.079***	1.099***	0.947***	0.806***	0.968***	0.986***	0.969***		0.804***	1.034***	0.960***	0.824***	0.681***	0.653***	0.928***	1.018***	1.226***	1.082***	0.986***	0.953***	1.020***
	(0.0997)	(0.131)	(0.0962)	(0.0637)	(0.0632)	(0.0727)	(0.0928)	(0.0657)	(0.0815)	(0.111)	(0.0753)	(0.109)	(0.203)	(0.105)	(0.0741)	(0.147)	(0.0986)	(0.134)	(0.0713)		(0.0850)	(0.0905)	(0.0787)	(0.0920)	(0.0976)	(0.0869)	(0.116)	(0.138)	(0.0667)	(0.0817)	(0.517)	(0.111)	(0.0732)	(0.0623)	(0.150)	(0.0793)	(0.104)	(0.0763)	(0.0745)	(0.0410)	(0.0794)		(0.152)	(0.0990)	(0.0700)	(0.110)	(0.0906)	(0.0455)	(0.105)	(0.0867)	(0.122)	(0.0963)	(0.0754)	(0.0691)	(0.0439)
st093q01ta_binary__cons	0.832***	0.308***	1.530***	11.27***	3.982***	0.826***	5.311***	1.253***	38.72***	5.511***	1.230***	1.319***	0.402***	19.54***	1.343***	0.239***	1.838***	0.122***	5.411***	0.952***	1.060***	0.448***	0.610***	1.986***	0.850***	0.499***	1.173***	1.959***	0.989***	0.395***	0.956*	7.631***	6.088***	0.963***	0.827***	0.801***	16.95***	0.849***	0.887***	10.14***	1.029***	1.438***	4.681***	0.242***	1.377***	0.555***	4.701***	7.266***	8.284***	10.26***	0.842***	1.207***	15.99***	1.003***	1.608***
	(0.154)	(0.0823)	(0.333)	(1.958)	(0.627)	(0.185)	(1.710)	(0.252)	(9.663)	(1.595)	(0.361)	(0.436)	(0.126)	(5.377)	(0.284)	(0.0709)	(0.525)	(0.0384)	(1.153)	(0.257)	(0.267)	(0.168)	(0.144)	(0.445)	(0.213)	(0.0979)	(0.271)	(0.638)	(0.252)	(0.0823)	(0.526)	(2.635)	(1.225)	(0.237)	(0.306)	(0.173)	(4.422)	(0.202)	(0.187)	(1.133)	(0.255)	(0.473)	(1.010)	(0.0690)	(0.337)	(0.175)	(0.990)	(1.122)	(2.547)	(2.366)	(0.225)	(0.271)	(3.759)	(0.162)	(0.229)
o.st093q01ta_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
																																																							
Observations	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
