	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q03ta_binary_pv_scie	-0.00182***	-0.00201***	-0.00350***	-0.00461***	-0.00275***	-0.00230***	-0.00473***	-0.00194***	-0.00583***	-0.00431***	-0.00327***	-0.00293***	-0.00214***	-0.00589***	-0.00239***	-0.00105***	-0.00314***	-0.00167***	-0.00338***	-0.00131***	-0.00205***	-0.00174***	-0.00137***	-0.00225***	-0.00214***	-0.00182***	-0.00156***	-0.00274***	-0.00166***	-0.00247***	-0.00142***	-0.00478***	-0.00341***	-0.00249***	-0.00202***	-0.00224***	-0.00531***	-0.00180***	-0.00206***	-0.00291***	-0.000649**	-0.00197***	-0.00360***	-0.000797***	-0.00198***	-0.00207***	-0.00235***	-0.00194***	-0.00504***	-0.00474***	-0.00197***	-0.00225***	-0.00477***	-0.000608***	-0.00221***
	(0.000176)	(0.000336)	(0.000255)	(0.000234)	(0.000246)	(0.000236)	(0.000322)	(0.000230)	(0.000386)	(0.000391)	(0.000317)	(0.000321)	(0.000421)	(0.000532)	(0.000245)	(0.000273)	(0.000311)	(0.000346)	(0.000287)	(0.000300)	(0.000275)	(0.000416)	(0.000261)	(0.000251)	(0.000266)	(0.000214)	(0.000187)	(0.000361)	(0.000257)	(0.000311)	(0.000264)	(0.000397)	(0.000270)	(0.000306)	(0.000319)	(0.000292)	(0.000397)	(0.000247)	(0.000253)	(0.000159)	(0.000297)	(0.000302)	(0.000269)	(0.000300)	(0.000293)	(0.000400)	(0.000261)	(0.000160)	(0.000514)	(0.000407)	(0.000299)	(0.000250)	(0.000319)	(0.000218)	(0.000164)
st093q03ta_binary_urban_du_y	0.0162	0.0527	0.0331	-0.0394	0.00677	0.0273	-0.0280	-0.0696*	-0.0272	-0.0648	0.00356	-0.104	-0.0111	-0.107*	0.00945	-0.0790*	0.0425	0.0113	-0.0793*		-0.0506	-0.132*	-0.0735	-0.0356	-0.00769	0.0957*	0.0320	0.153**	0.108***	-0.0125	-0.0940	0.0651	0.0688*	-0.173***	0.0348	0.0791	0.0712	-0.0134	-0.0153	-0.0346	-0.0771*		-0.146	0.117*	-0.0156	-0.0356	-0.111	-0.201***	0.00621	-0.0288	0.141**	0.0591	0.0267	-0.119***	-0.0157
	(0.0474)	(0.0660)	(0.0493)	(0.0388)	(0.0482)	(0.0451)	(0.0610)	(0.0404)	(0.0492)	(0.0718)	(0.0424)	(0.0797)	(0.104)	(0.0593)	(0.0501)	(0.0471)	(0.0601)	(0.0822)	(0.0462)		(0.0504)	(0.0678)	(0.0519)	(0.0539)	(0.0627)	(0.0516)	(0.0449)	(0.0742)	(0.0405)	(0.0497)	(0.314)	(0.0666)	(0.0374)	(0.0563)	(0.0699)	(0.0486)	(0.0643)	(0.0516)	(0.0552)	(0.0256)	(0.0458)		(0.0938)	(0.0671)	(0.0475)	(0.0742)	(0.0684)	(0.0369)	(0.0561)	(0.0596)	(0.0658)	(0.0568)	(0.0496)	(0.0454)	(0.0309)
st093q03ta_binary__cons	-0.312***	-0.405**	0.416***	1.183***	0.617***	-0.0839	0.916***	0.0605	1.654***	0.990***	0.309**	0.0406	-0.290	1.762***	0.575***	-0.579***	0.0974	-0.501***	0.586***	-0.281*	0.0672	-0.446**	-0.315**	0.293**	-0.00864	-0.0719	-0.0274	0.161	-0.295**	-0.148	0.145	0.874***	0.807***	0.534***	-0.247	0.135	1.326***	0.0644	0.260**	0.827***	-0.192	-0.0757	0.647***	-0.752***	0.0992	-0.353*	0.528***	0.557***	1.179***	0.903***	-0.226	0.127	1.178***	0.136	0.211***
	(0.0892)	(0.162)	(0.125)	(0.0899)	(0.114)	(0.121)	(0.142)	(0.114)	(0.155)	(0.164)	(0.145)	(0.155)	(0.209)	(0.180)	(0.133)	(0.140)	(0.152)	(0.184)	(0.125)	(0.153)	(0.133)	(0.190)	(0.134)	(0.124)	(0.135)	(0.119)	(0.0991)	(0.175)	(0.123)	(0.144)	(0.322)	(0.167)	(0.112)	(0.168)	(0.159)	(0.145)	(0.154)	(0.119)	(0.124)	(0.0655)	(0.143)	(0.171)	(0.123)	(0.157)	(0.144)	(0.200)	(0.107)	(0.0700)	(0.199)	(0.162)	(0.147)	(0.126)	(0.136)	(0.103)	(0.0803)
o.st093q03ta_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
