country_lb,country_id,pct_noturban,se_noturban,pct_urban,se_urban,year
ALB,8,67.99011548,3.675252159,32.00988452,3.675252159,2015
DZA,12,83.05106978,2.849088077,16.94893022,2.849088077,2015
AZE,31,,,,,2015
ARG,32,,,,,2015
AUS,36,32.44234574,1.334204484,67.55765426,1.334204484,2015
AUT,40,66.53932461,2.484482226,33.46067539,2.484482226,2015
BEL,56,69.96424446,2.981179201,30.03575554,2.981179201,2015
BRA,76,50.54115529,2.380563819,49.45884471,2.380563819,2015
BGR,100,60.32633715,2.151338369,39.67366285,2.151338369,2015
CAN,124,46.71540354,2.42721796,53.28459646,2.42721796,2015
CHL,152,34.44722681,3.356808011,65.55277319,3.356808011,2015
QCN,156,,,,,2015
TAP,158,40.08173396,3.02868596,59.91826604,3.02868596,2015
COL,170,49.98752976,3.167075328,50.01247024,3.167075328,2015
CRI,188,87.73003977,2.314262422,12.26996023,2.314262422,2015
HRV,191,60.59314831,2.203290726,39.40685169,2.203290726,2015
CZE,203,75.68284968,2.07553633,24.31715032,2.07553633,2015
DNK,208,82.50505696,2.244079197,17.49494304,2.244079197,2015
DOM,214,75.95317711,3.456497909,24.04682289,3.456497909,2015
EST,233,70.98653304,1.367273489,29.01346696,1.367273489,2015
FIN,246,72.26827929,3.255271502,27.73172071,3.255271502,2015
FRA,250,70.35019337,2.800308196,29.64980663,2.800308196,2015
GEO,268,59.49263377,2.08285009,40.50736623,2.08285009,2015
DEU,276,71.61956248,3.121233341,28.38043752,3.121233341,2015
GRC,300,68.33150186,2.762597814,31.66849814,2.762597814,2015
HKG,344,0,,100,,2015
HUN,348,55.1695737,3.319923778,44.8304263,3.319923778,2015
ISL,352,70.41660012,0.171493567,29.58339988,0.171493567,2015
QHP,356,,,,,2015
IDN,360,85.82239979,1.972022022,14.17760021,1.972022022,2015
IRL,372,70.81165031,3.34889999,29.18834969,3.34889999,2015
ISR,376,62.40489536,3.233838882,37.59510464,3.233838882,2015
ITA,380,71.4504591,2.749133852,28.5495409,2.749133852,2015
JPN,392,27.6261966,3.113396479,72.3738034,3.113396479,2015
KAZ,398,,,,,2015
JOR,400,66.15107264,2.985450062,33.84892736,2.985450062,2015
KOR,410,14.78656326,2.143169395,85.21343674,2.143169395,2015
KSV,411,74.12644197,0.972727349,25.87355803,0.972727349,2015
KGZ,417,,,,,2015
LBN,422,78.35995363,2.728002305,21.64004637,2.728002305,2015
LVA,428,70.43719804,1.181421445,29.56280196,1.181421445,2015
LIE,438,,,,,2015
LTU,440,62.13010806,0.826363088,37.86989194,0.826363088,2015
LUX,442,56.69289742,0.10622679,43.30710258,0.10622679,2015
MAC,446,0,,99.55624586,0.031310565,2015
MYS,458,,,,,2015
MLT,470,100,,0,,2015
MUS,480,,,,,2015
MEX,484,52.43698804,2.700998677,47.56301196,2.700998677,2015
MDA,498,81.42938299,1.749966856,18.57061701,1.749966856,2015
MNE,499,67.90053938,0.335524533,32.09946062,0.335524533,2015
NLD,528,73.08458066,4.288537994,26.91541934,4.288537994,2015
NZL,554,46.54956458,3.443995885,53.45043542,3.443995885,2015
NOR,578,80.0329874,2.889695274,19.9670126,2.889695274,2015
PAN,591,,,,,2015
PER,604,86.42624072,2.072420083,13.57375928,2.072420083,2015
POL,616,74.4452545,1.585004625,25.5547455,1.585004625,2015
PRT,620,80.46219532,2.376938055,19.53780468,2.376938055,2015
QUD,630,0,,0,,2015
QAT,634,49.88762572,0.110346827,50.11237428,0.110346827,2015
ROU,642,69.807751,3.50673435,30.192249,3.50673435,2015
RUS,643,49.20755879,2.205901574,50.79244121,2.205901574,2015
SRB,688,,,,,2015
SGP,702,0,,100,,2015
SVK,703,87.6280578,1.693081547,12.3719422,1.693081547,2015
VNM,704,74.44593356,3.242832324,25.55406644,3.242832324,2015
SVN,705,73.02760904,0.207308389,26.97239096,0.207308389,2015
ESP,724,65.97826498,3.211349304,34.02173502,3.211349304,2015
SWE,752,0,,0,,2015
CHE,756,80.95834745,2.55225649,19.04165255,2.55225649,2015
THA,764,79.66755894,3.021638037,20.33244106,3.021638037,2015
TTO,780,100,,0,,2015
ARE,784,35.81270599,2.515368763,64.18729401,2.515368763,2015
TUN,788,71.38960042,3.442564631,28.61039958,3.442564631,2015
TUR,792,39.23906412,3.883605268,60.76093588,3.883605268,2015
MKD,807,60.93327489,0.178577422,39.06672511,0.178577422,2015
GBR,826,75.78300362,2.926412492,24.21699638,2.926412492,2015
USA,840,61.11282212,3.40297964,38.88717788,3.40297964,2015
URY,858,60.67668604,2.491296963,39.32331396,2.491296963,2015
QVE,862,,,,,2015
QCH,970,62.44932929,3.330101861,37.55067071,3.330101861,2015
QES,971,63.00884034,1.839933109,36.99115966,1.839933109,2015
QUC,972,0,,0,,2015
QUE,973,0,,0,,2015
QAR,974,0,,96.13595377,2.269097838,2015
ALB,8,71.60363025,3.325997763,28.39636975,3.325997763,2012
DZA,12,,,,,2012
AZE,31,,,,,2012
ARG,32,62.67055631,3.514189175,37.32944369,3.514189175,2012
AUS,36,34.92470907,1.27650521,65.07529093,1.27650521,2012
AUT,40,64.42610894,2.961589585,35.57389106,2.961589585,2012
BEL,56,77.37530226,2.510810488,22.62469774,2.510810488,2012
BRA,76,52.49265349,2.139987351,47.50734651,2.139987351,2012
BGR,100,63.76797798,2.18612046,36.23202202,2.18612046,2012
CAN,124,45.51570668,2.042957857,54.48429332,2.042957857,2012
CHL,152,42.06892515,3.786030329,57.93107485,3.786030329,2012
QCN,156,0,,100,,2012
TAP,158,38.23500135,2.839085051,61.76499865,2.839085051,2012
COL,170,44.44432067,3.743891544,55.55567933,3.743891544,2012
CRI,188,85.27453046,2.601724216,14.72546954,2.601724216,2012
HRV,191,63.01545729,1.621090981,36.98454271,1.621090981,2012
CZE,203,73.33631949,2.853505167,26.66368051,2.853505167,2012
DNK,208,84.53822599,2.486031064,15.46177401,2.486031064,2012
DOM,214,,,,,2012
EST,233,69.79804889,0.659802403,30.20195111,0.659802403,2012
FIN,246,73.13063643,2.492870091,26.86936357,2.492870091,2012
FRA,250,76.57473551,2.801245578,23.42526449,2.801245578,2012
GEO,268,,,,,2012
DEU,276,72.57045787,3.105651434,27.42954213,3.105651434,2012
GRC,300,70.55288208,2.908339957,29.44711792,2.908339957,2012
HKG,344,0,,100,,2012
HUN,348,61.25820979,4.062360916,38.74179021,4.062360916,2012
