country name,countryid,coef not urban,SE not urban,coef urban,se urban,diff,se diff,p-value,year,Urban significantly better,Urban significantly worse,No signficant difference
ALB,8,416.6687861,2.669075913,450.0475761,7.212697848,33.37879,7.618095921,1.17858E-05,2015,TRUE,FALSE,FALSE
DZA,12,371.0871939,2.770821605,396.7260449,9.512143407,25.63885097,10.32761501,0.013044468,2015,TRUE,FALSE,FALSE
AZE,31,,,,,,,,2015,N/A,N/A,N/A
ARG,32,,,,,,,,2015,N/A,N/A,N/A
AUS,36,490.096307,3.091529944,519.531992,2.402579935,29.43568503,4.266209229,5.21021E-12,2015,TRUE,FALSE,FALSE
AUT,40,495.6486114,3.188108355,494.7969894,7.261268679,-0.85162196,9.01999755,0.924779598,2015,FALSE,FALSE,TRUE
BEL,56,513.759421,3.355353507,478.3181422,8.438277046,-35.44127883,10.39601093,0.000651721,2015,FALSE,TRUE,FALSE
BRA,76,389.6582695,3.288859691,418.581339,4.285751275,28.92306946,5.655203939,3.14712E-07,2015,TRUE,FALSE,FALSE
BGR,100,426.2981028,5.854412418,475.3831977,8.122790806,49.08509487,10.79584896,5.4503E-06,2015,TRUE,FALSE,FALSE
CAN,124,520.7257912,2.619248112,536.4025679,3.188549981,15.67677677,4.002079216,8.9599E-05,2015,TRUE,FALSE,FALSE
CHL,152,426.7931528,5.698589279,458.6003532,3.665135754,31.80720035,7.470604534,2.06589E-05,2015,TRUE,FALSE,FALSE
QCN,156,,,,,,,,2015,N/A,N/A,N/A
TAP,158,497.4178161,4.56819645,555.7132922,3.93251106,58.29547609,6.739960738,5.18477E-18,2015,TRUE,FALSE,FALSE
COL,170,402.4972253,4.478558501,432.3098696,3.573793437,29.81264435,5.974941892,6.05006E-07,2015,TRUE,FALSE,FALSE
CRI,188,419.9461659,2.256489055,413.05285,7.132576816,-6.893315977,7.738809345,0.373065277,2015,FALSE,FALSE,TRUE
HRV,191,464.7385322,3.396159654,491.7710002,5.192782475,27.03246798,6.807604173,7.15949E-05,2015,TRUE,FALSE,FALSE
CZE,203,483.5614708,3.056772924,525.3435797,5.176181102,41.78210887,6.889222109,1.32076E-09,2015,TRUE,FALSE,FALSE
DNK,208,500.8722754,2.779204036,507.7379137,5.680235532,6.865638288,6.382023231,0.282026687,2015,FALSE,FALSE,TRUE
DOM,214,322.5783816,3.212360472,363.6411694,8.189607873,41.06278775,9.183363432,7.76975E-06,2015,TRUE,FALSE,FALSE
EST,233,529.722739,2.550599716,545.3038893,4.554979337,15.58115035,5.505254134,0.004651416,2015,TRUE,FALSE,FALSE
FIN,246,526.2748196,2.304474747,540.3901927,6.050458421,14.11537308,6.502047603,0.029937826,2015,TRUE,FALSE,FALSE
FRA,250,491.8723284,3.6739468,505.2568095,8.301368377,13.38448107,10.90904987,0.219854397,2015,FALSE,FALSE,TRUE
GEO,268,394.6839681,2.975548588,434.0113294,4.539898837,39.32736128,5.524549433,1.08985E-12,2015,TRUE,FALSE,FALSE
DEU,276,510.596718,4.349692091,508.5385156,9.859878719,-2.058202358,12.28720405,0.866970521,2015,FALSE,FALSE,TRUE
GRC,300,444.2092533,5.391075441,477.1343966,6.123034144,32.9251433,8.544623443,0.000116528,2015,TRUE,FALSE,FALSE
HKG,344,0,,523.2774478,2.547227967,0,,,2015,N/A,N/A,N/A
HUN,348,460.9041752,4.927925677,497.076302,5.109852025,36.17212686,8.461538854,1.91234E-05,2015,TRUE,FALSE,FALSE
ISL,352,470.5546871,1.875751822,478.8959441,3.362288794,8.341257015,3.768210342,0.026857283,2015,TRUE,FALSE,FALSE
QHP,356,,,,,,,,2015,N/A,N/A,N/A
IDN,360,397.5538123,2.950685299,438.4050373,8.313133829,40.85122501,9.073893743,6.72976E-06,2015,TRUE,FALSE,FALSE
IRL,372,498.5562816,2.77373262,514.8741947,5.6589917,16.31791303,6.278648077,0.00935085,2015,TRUE,FALSE,FALSE
ISR,376,463.4814479,5.033718577,470.8816107,7.128185558,7.400162775,9.824708988,0.451318,2015,FALSE,FALSE,TRUE
ITA,380,476.8559973,3.898394649,503.2361301,7.290271879,26.3801328,9.005033503,0.003395215,2015,TRUE,FALSE,FALSE
JPN,392,524.9213367,6.834839898,543.537761,4.106899318,18.61642436,8.829173763,0.034986672,2015,TRUE,FALSE,FALSE
KAZ,398,,,,,,,,2015,N/A,N/A,N/A
JOR,400,402.3447705,3.746831808,420.5322136,4.698086173,18.1874431,6.507207223,0.005190468,2015,TRUE,FALSE,FALSE
KOR,410,511.7715347,11.09743157,516.510666,3.386242489,4.739131318,11.99093429,0.692675963,2015,FALSE,FALSE,TRUE
KSV,411,372.7949715,1.659766014,394.7264543,3.179615912,21.93148285,3.114708069,1.90503E-12,2015,TRUE,FALSE,FALSE
KGZ,417,,,,,,,,2015,N/A,N/A,N/A
LBN,422,379.5662489,3.940535828,414.4714645,9.591229588,34.90521559,10.76147465,0.001180565,2015,TRUE,FALSE,FALSE
LVA,428,482.86311,2.096114356,509.5324486,3.179511808,26.66933861,4.077415795,6.1213E-11,2015,TRUE,FALSE,FALSE
LIE,438,,,,,,,,2015,N/A,N/A,N/A
LTU,440,460.8396326,2.619939262,499.3116568,6.038971246,38.47202419,6.860339067,2.04809E-08,2015,TRUE,FALSE,FALSE
LUX,442,463.3116206,1.524422234,508.9008036,1.477676882,45.58918304,2.036527646,5.4196E-111,2015,TRUE,FALSE,FALSE
