	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
pv_scie	-0.000350***	-0.000399***	-0.000542***	-0.00125***	-0.000733***	-0.000433***	-0.00105***	-0.000769***	-0.00155***	-0.00125***	-0.000628***	-0.000310***	-0.000262***	-0.00178***	-0.000523***	-0.000208***	-0.000494***	-0.000229***	-0.00107***	-0.000437***	-0.000698***	-0.000144*	-0.000471***	-0.000356***	-0.000688***	-0.000367***	-0.000427***	-0.000489***	-0.000520***	-0.000322***	-0.000598***	-0.00113***	-0.00135***	-0.000565***	-0.000483***	-7.69e-05	-0.00151***	-0.000658***	-0.000938***	-0.00104***	-0.000111	-0.000190**	-0.000997***	-0.000298***	-0.000668***	-0.000348***	-0.000656***	-0.000921***	-0.00157***	-0.00116***	-0.000336***	-0.000566***	-0.00128***	-0.000596***	-0.000703***
	(3.75e-05)	(4.64e-05)	(4.99e-05)	(6.43e-05)	(6.25e-05)	(4.56e-05)	(6.47e-05)	(6.51e-05)	(9.38e-05)	(9.16e-05)	(6.16e-05)	(5.43e-05)	(7.89e-05)	(0.000172)	(8.31e-05)	(6.12e-05)	(5.10e-05)	(5.18e-05)	(7.75e-05)	(7.51e-05)	(7.51e-05)	(7.88e-05)	(7.39e-05)	(8.83e-05)	(0.000101)	(6.35e-05)	(6.82e-05)	(7.47e-05)	(6.53e-05)	(4.67e-05)	(8.00e-05)	(8.40e-05)	(8.81e-05)	(9.18e-05)	(6.74e-05)	(7.41e-05)	(8.00e-05)	(6.81e-05)	(7.18e-05)	(4.52e-05)	(0.000105)	(7.37e-05)	(6.17e-05)	(5.39e-05)	(7.89e-05)	(6.00e-05)	(9.51e-05)	(5.69e-05)	(0.000113)	(8.68e-05)	(7.01e-05)	(6.40e-05)	(8.20e-05)	(9.12e-05)	(4.36e-05)
urban_dummy	0.0326***	0.0127	0.0221**	0.00405	-0.0172	0.00481	-0.00630	-0.00406	0.00960	0.00580	0.0116	-0.0158	-0.0112	-0.0306	-0.00758	0.00987	0.0135	0.0178*	-0.0180		-0.0216*	-0.0222	0.0104	0.0145	0.00534	0.00560	0.0158	0.0298**	0.0112	0.00614	-0.00676	0.00232	0.0386***	-0.0429**	0.00864	0.0660***	0.00268	-0.0152	0.00160	-0.0200**	-0.0166		-0.0221	0.00346	-0.0114	0.00614	-0.0530**	-0.0780***	-0.00794	-0.00204	0.0273*	0.00744	0.00321	-0.0472**	0.00415
	(0.00897)	(0.0104)	(0.00957)	(0.0122)	(0.0156)	(0.00885)	(0.0138)	(0.0104)	(0.0125)	(0.0139)	(0.00742)	(0.00994)	(0.0163)	(0.0267)	(0.0157)	(0.0102)	(0.00969)	(0.0103)	(0.0122)		(0.0130)	(0.0143)	(0.0118)	(0.0206)	(0.0123)	(0.0142)	(0.0156)	(0.0137)	(0.00992)	(0.0104)	(0.105)	(0.0119)	(0.0126)	(0.0194)	(0.0126)	(0.0225)	(0.0122)	(0.0128)	(0.0139)	(0.00976)	(0.0115)		(0.0181)	(0.0127)	(0.0143)	(0.0124)	(0.0214)	(0.0137)	(0.0142)	(0.0107)	(0.0151)	(0.0145)	(0.0118)	(0.0210)	(0.00693)
o.urban_dummy																				-																						-													
																																																							
Constant	0.296***	0.286***	0.388***	0.765***	0.653***	0.341***	0.609***	0.565***	0.843***	0.700***	0.419***	0.243***	0.304***	1.036***	0.569***	0.264***	0.350***	0.213***	0.709***	0.389***	0.525***	0.207***	0.475***	0.509***	0.517***	0.408***	0.415***	0.411***	0.413***	0.264***	0.560***	0.616***	0.878***	0.620***	0.362***	0.292***	0.800***	0.501***	0.645***	0.846***	0.381***	0.348***	0.643***	0.257***	0.556***	0.273***	0.667***	0.832***	0.850***	0.658***	0.355***	0.494***	0.768***	0.743***	0.568***
	(0.0196)	(0.0257)	(0.0280)	(0.0276)	(0.0296)	(0.0261)	(0.0351)	(0.0338)	(0.0423)	(0.0412)	(0.0309)	(0.0288)	(0.0415)	(0.0583)	(0.0463)	(0.0339)	(0.0271)	(0.0292)	(0.0373)	(0.0402)	(0.0403)	(0.0404)	(0.0382)	(0.0448)	(0.0531)	(0.0348)	(0.0374)	(0.0380)	(0.0320)	(0.0238)	(0.108)	(0.0385)	(0.0371)	(0.0497)	(0.0360)	(0.0373)	(0.0354)	(0.0357)	(0.0383)	(0.0207)	(0.0528)	(0.0423)	(0.0303)	(0.0284)	(0.0415)	(0.0314)	(0.0406)	(0.0251)	(0.0449)	(0.0400)	(0.0378)	(0.0350)	(0.0372)	(0.0441)	(0.0233)
