	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
pv_scie	-0.000269***	-9.17e-05*	-0.000418***	-0.00110***	-0.000858***	-0.000314***	-0.000720***	-0.000435***	-0.00114***	-0.000821***	-0.000382***	-0.000369***	-0.000104	-0.00186***	-0.000386***	-5.11e-05	-0.000331***	1.31e-05	-0.000698***	-0.000419***	-0.000287***	-0.000157**	-0.000285***	-0.000647***	-0.000148*	-0.000108*	-0.000333***	-0.000633***	-0.000324***	-8.94e-05*	-0.000397***	-0.000801***	-0.00104***	-0.000118	-0.000359***	-0.000291***	-0.00129***	-0.000295***	-0.000328***	-0.000993***	-0.000279***	-0.000413***	-0.000661***	0.000153**	-0.000283***	-0.000139**	-0.000996***	-0.000620***	-0.00118***	-0.00100***	-0.000308***	-0.000565***	-0.000961***	-1.28e-05	-0.000314***
	(4.65e-05)	(5.42e-05)	(6.03e-05)	(6.67e-05)	(7.14e-05)	(5.06e-05)	(7.17e-05)	(4.84e-05)	(8.05e-05)	(9.85e-05)	(6.97e-05)	(6.35e-05)	(7.83e-05)	(0.000154)	(8.59e-05)	(5.30e-05)	(5.15e-05)	(7.06e-05)	(8.84e-05)	(7.14e-05)	(7.34e-05)	(6.98e-05)	(8.18e-05)	(8.22e-05)	(7.71e-05)	(5.99e-05)	(6.10e-05)	(8.33e-05)	(6.45e-05)	(4.58e-05)	(8.40e-05)	(9.96e-05)	(8.20e-05)	(8.84e-05)	(6.32e-05)	(6.79e-05)	(9.03e-05)	(8.02e-05)	(7.15e-05)	(4.75e-05)	(9.75e-05)	(5.83e-05)	(6.70e-05)	(7.59e-05)	(6.63e-05)	(5.97e-05)	(9.76e-05)	(5.77e-05)	(0.000107)	(7.15e-05)	(6.31e-05)	(5.34e-05)	(7.27e-05)	(9.15e-05)	(4.41e-05)
urban_dummy	0.0229***	0.0136	0.00862	0.00367	-0.0229	0.00541	-0.0112	-0.0101	0.00124	-0.00835	0.00223	-0.0152*	0.0137	-0.0145	-0.00135	-0.00142	0.00688	0.00358	-0.0398***		-0.0206	-0.0144	0.0181	-0.0243*	0.0136	0.0117	0.0242	0.0247**	-0.0108	-0.0114	-0.0663	-0.00172	0.0236*	-0.0502***	0.0213*	0.00711	0.0211	-0.0119	0.00163	0.0154	-0.0283*		-0.0253	0.0305*	-0.00558	0.00118	-0.0545**	-0.0495***	0.0266*	0.00244	0.00813	0.0214	0.00631	-0.0564***	0.00156
	(0.00816)	(0.0136)	(0.00907)	(0.0113)	(0.0140)	(0.00821)	(0.0108)	(0.00873)	(0.0114)	(0.0129)	(0.00961)	(0.00908)	(0.0174)	(0.0251)	(0.0145)	(0.0125)	(0.00822)	(0.0145)	(0.0132)		(0.0140)	(0.0102)	(0.0135)	(0.0142)	(0.0139)	(0.0121)	(0.0177)	(0.0108)	(0.0101)	(0.00910)	(0.104)	(0.0141)	(0.0132)	(0.0178)	(0.0122)	(0.0148)	(0.0152)	(0.0144)	(0.0178)	(0.0104)	(0.0160)		(0.0193)	(0.0171)	(0.0122)	(0.0151)	(0.0238)	(0.0136)	(0.0156)	(0.0105)	(0.0112)	(0.0139)	(0.0114)	(0.0174)	(0.00616)
o.urban_dummy																				-																						-													
																																																							
Constant	0.248***	0.140***	0.340***	0.666***	0.648***	0.296***	0.430***	0.375***	0.662***	0.498***	0.299***	0.278***	0.167***	0.998***	0.424***	0.130***	0.259***	0.103***	0.523***	0.344***	0.336***	0.183***	0.325***	0.512***	0.238***	0.245***	0.351***	0.445***	0.310***	0.167***	0.472***	0.458***	0.685***	0.350***	0.293***	0.326***	0.684***	0.349***	0.389***	0.751***	0.386***	0.401***	0.450***	0.0599	0.309***	0.172***	0.760***	0.636***	0.673***	0.568***	0.315***	0.474***	0.583***	0.448***	0.325***
	(0.0248)	(0.0274)	(0.0330)	(0.0291)	(0.0338)	(0.0282)	(0.0361)	(0.0267)	(0.0353)	(0.0431)	(0.0344)	(0.0330)	(0.0404)	(0.0561)	(0.0464)	(0.0288)	(0.0270)	(0.0386)	(0.0444)	(0.0378)	(0.0358)	(0.0351)	(0.0423)	(0.0414)	(0.0399)	(0.0316)	(0.0348)	(0.0421)	(0.0318)	(0.0226)	(0.108)	(0.0434)	(0.0351)	(0.0487)	(0.0356)	(0.0344)	(0.0405)	(0.0403)	(0.0365)	(0.0210)	(0.0482)	(0.0340)	(0.0334)	(0.0393)	(0.0343)	(0.0295)	(0.0410)	(0.0280)	(0.0448)	(0.0335)	(0.0336)	(0.0286)	(0.0330)	(0.0435)	(0.0231)
