	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q05ta_binary_pv_scie	0.997***	0.995***	0.995***	0.993***	0.996***	0.996***	0.990***	0.994***	0.988***	0.990***	0.994***	0.996***	0.998***	0.992***	0.997***	0.998***	0.995***	0.997***	0.993***	0.997***	0.995***	0.999***	0.997***	0.998***	0.995***	0.998***	0.997***	0.997***	0.996***	0.997***	0.997***	0.990***	0.993***	0.997***	0.995***	1.000***	0.989***	0.995***	0.993***	0.995***	0.999***	0.999***	0.993***	0.997***	0.996***	0.996***	0.997***	0.996***	0.990***	0.990***	0.998***	0.997***	0.991***	0.998***	0.996***
	(0.000330)	(0.000504)	(0.000442)	(0.000423)	(0.000308)	(0.000427)	(0.000611)	(0.000484)	(0.000769)	(0.000775)	(0.000605)	(0.000710)	(0.000568)	(0.000872)	(0.000411)	(0.000457)	(0.000573)	(0.000575)	(0.000526)	(0.000540)	(0.000499)	(0.000681)	(0.000417)	(0.000397)	(0.000669)	(0.000370)	(0.000421)	(0.000529)	(0.000489)	(0.000500)	(0.000446)	(0.000739)	(0.000491)	(0.000435)	(0.000668)	(0.000381)	(0.000598)	(0.000512)	(0.000513)	(0.000214)	(0.000482)	(0.000396)	(0.000504)	(0.000608)	(0.000454)	(0.000692)	(0.000427)	(0.000278)	(0.000811)	(0.000781)	(0.000462)	(0.000401)	(0.000676)	(0.000393)	(0.000260)
st093q05ta_binary_urban_du_y	1.323***	1.149***	1.213***	1.015***	0.918***	1.047***	0.958***	0.961***	1.082***	1.042***	1.119***	0.794***	0.919***	0.861***	0.962***	1.077***	1.149***	1.216***	0.892***		0.860***	0.816***	1.059***	1.067***	1.039***	1.033***	1.102***	1.226***	1.081***	1.067***	0.981*	1.033***	1.201***	0.812***	1.083***	1.384***	1.029***	0.881***	1.010***	0.914***	0.926***		0.809***	1.037***	0.932***	1.064***	0.789***	0.713***	0.922***	1.016***	1.188***	1.042***	0.998***	0.818***	1.022***
	(0.105)	(0.143)	(0.105)	(0.0703)	(0.0707)	(0.0939)	(0.120)	(0.0763)	(0.0949)	(0.104)	(0.0786)	(0.121)	(0.113)	(0.104)	(0.0755)	(0.0825)	(0.122)	(0.139)	(0.0753)		(0.0783)	(0.109)	(0.0692)	(0.0973)	(0.0891)	(0.0871)	(0.111)	(0.112)	(0.0788)	(0.118)	(0.554)	(0.107)	(0.0731)	(0.0788)	(0.133)	(0.147)	(0.103)	(0.0918)	(0.112)	(0.0389)	(0.0492)		(0.138)	(0.147)	(0.0797)	(0.153)	(0.0770)	(0.0423)	(0.0838)	(0.0851)	(0.111)	(0.0900)	(0.0806)	(0.0724)	(0.0423)
st093q05ta_binary__cons	0.582***	1.021***	1.711***	6.636***	2.271***	1.170***	12.24***	3.871***	26.10***	11.22***	2.291***	0.720***	0.532***	11.74***	1.597***	0.417***	1.496***	0.390***	5.623***	0.996***	2.248***	0.294***	1.144***	1.088***	2.053***	0.850***	0.905***	1.050***	1.172***	0.606***	1.788*	9.078***	6.989***	1.894***	1.465***	0.415***	20.28***	2.289***	5.806***	4.708***	0.627***	0.566***	6.225***	0.593***	1.973***	0.767***	2.128***	4.599***	13.36***	9.582***	0.687***	1.460***	11.93***	2.770***	2.124***
	(0.0957)	(0.269)	(0.402)	(1.099)	(0.317)	(0.253)	(3.254)	(0.888)	(7.833)	(3.509)	(0.639)	(0.238)	(0.164)	(3.524)	(0.364)	(0.102)	(0.401)	(0.122)	(1.329)	(0.278)	(0.547)	(0.102)	(0.244)	(0.217)	(0.691)	(0.169)	(0.208)	(0.268)	(0.270)	(0.139)	(1.006)	(2.746)	(1.411)	(0.432)	(0.493)	(0.0794)	(4.907)	(0.578)	(1.458)	(0.442)	(0.152)	(0.132)	(1.335)	(0.184)	(0.451)	(0.247)	(0.379)	(0.559)	(4.220)	(3.083)	(0.168)	(0.303)	(3.303)	(0.527)	(0.281)
o.st093q05ta_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
																																																							
Observations	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
