	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q07na_binary_pv_scie	0.998***	0.999***	0.996***	0.993***	0.995***	0.997***	0.991***	0.996***	0.992***	0.993***	0.996***	0.995***	0.999***	0.991***	0.998***	0.999***	0.996***	1.000***	0.995***	0.996***	0.998***	0.998***	0.998***	0.996***	0.999***	0.999***	0.998***	0.995***	0.997***	0.999***	0.998***	0.992***	0.994***	0.999***	0.996***	0.998***	0.989***	0.998***	0.998***	0.995***	0.998***	0.997***	0.994***	1.001***	0.998***	0.998***	0.995***	0.997***	0.993***	0.991***	0.998***	0.996***	0.992***	1.000***	0.998***
	(0.000421)	(0.000618)	(0.000515)	(0.000463)	(0.000409)	(0.000429)	(0.000811)	(0.000379)	(0.000634)	(0.000854)	(0.000709)	(0.000819)	(0.000761)	(0.000858)	(0.000509)	(0.000573)	(0.000593)	(0.000718)	(0.000571)	(0.000638)	(0.000480)	(0.000755)	(0.000535)	(0.000583)	(0.000538)	(0.000378)	(0.000385)	(0.000722)	(0.000524)	(0.000443)	(0.000524)	(0.000963)	(0.000503)	(0.000442)	(0.000612)	(0.000469)	(0.000738)	(0.000514)	(0.000415)	(0.000241)	(0.000545)	(0.000396)	(0.000580)	(0.000611)	(0.000473)	(0.000676)	(0.000502)	(0.000276)	(0.000708)	(0.000720)	(0.000475)	(0.000347)	(0.000665)	(0.000377)	(0.000311)
st093q07na_binary_urban_du_y	1.236***	1.163***	1.071***	1.016***	0.872***	1.048***	0.893***	0.917***	1.013***	0.936***	1.022***	0.811***	1.138***	0.913***	0.991***	0.984***	1.080***	1.037***	0.754***		0.872***	0.850***	1.126***	0.853***	1.100***	1.077***	1.170***	1.234***	0.915***	0.895***	0.717*	0.992***	1.134***	0.771***	1.230***	1.049***	1.209***	0.925***	1.010***	1.070***	0.854***		0.752***	1.263***	0.959***	1.012***	0.757***	0.800***	1.158***	1.053***	1.060***	1.140***	1.030***	0.792***	1.010***
	(0.0959)	(0.171)	(0.0832)	(0.0723)	(0.0713)	(0.0755)	(0.107)	(0.0653)	(0.0812)	(0.0966)	(0.0976)	(0.109)	(0.182)	(0.113)	(0.0852)	(0.134)	(0.105)	(0.151)	(0.0730)		(0.0818)	(0.0984)	(0.0975)	(0.0812)	(0.106)	(0.0844)	(0.141)	(0.111)	(0.0749)	(0.0801)	(0.419)	(0.136)	(0.0812)	(0.0741)	(0.152)	(0.106)	(0.146)	(0.0887)	(0.104)	(0.0518)	(0.0760)		(0.171)	(0.159)	(0.0873)	(0.169)	(0.0941)	(0.0488)	(0.113)	(0.0960)	(0.0863)	(0.0974)	(0.0945)	(0.0571)	(0.0450)
st093q07na_binary__cons	0.427***	0.173***	0.939***	4.847***	2.984***	0.622***	5.008***	1.097***	6.995***	3.010***	0.779***	0.995***	0.216**	12.75***	0.933***	0.154***	0.685***	0.116**	2.058***	0.982***	0.603***	0.271***	0.569***	1.839***	0.333***	0.333***	0.633***	2.019***	0.618***	0.214***	1.269*	3.517***	3.638***	0.553***	0.714***	0.584***	13.23***	0.639***	0.743***	3.542***	0.714***	1.000***	2.289***	0.0856***	0.551***	0.243***	3.776***	2.023***	4.584***	7.076***	0.604***	1.402***	5.749***	0.814***	0.609***
	(0.0933)	(0.0555)	(0.272)	(0.906)	(0.531)	(0.143)	(1.694)	(0.216)	(1.684)	(1.121)	(0.264)	(0.382)	(0.0891)	(3.779)	(0.255)	(0.0480)	(0.197)	(0.0458)	(0.568)	(0.318)	(0.136)	(0.101)	(0.164)	(0.511)	(0.0907)	(0.0663)	(0.136)	(0.716)	(0.160)	(0.0451)	(0.706)	(1.363)	(0.746)	(0.135)	(0.242)	(0.136)	(3.931)	(0.167)	(0.153)	(0.357)	(0.195)	(0.227)	(0.573)	(0.0271)	(0.131)	(0.0793)	(0.775)	(0.263)	(1.235)	(2.057)	(0.148)	(0.245)	(1.542)	(0.149)	(0.0966)
o.st093q07na_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
																																																							
Observations	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
