	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q01ta_binary_pv_scie	-0.00193***	-0.000779***	-0.00235***	-0.00492***	-0.00281***	-0.00175***	-0.00411***	-0.00182***	-0.00666***	-0.00414***	-0.00222***	-0.00240***	-0.00105***	-0.00586***	-0.00147***	-0.000639**	-0.00284***	0.000373	-0.00366***	-0.00158***	-0.00155***	-0.00112***	-0.00106***	-0.00212***	-0.00151***	-0.000509***	-0.00169***	-0.00265***	-0.00175***	-0.000944***	-0.00106***	-0.00491***	-0.00388***	-0.000771***	-0.00191***	-0.00124***	-0.00575***	-0.00110***	-0.00115***	-0.00386***	-0.00117***	-0.00202***	-0.00364***	-0.000172	-0.00198***	-0.00137***	-0.00305***	-0.00288***	-0.00490***	-0.00513***	-0.00173***	-0.00186***	-0.00524***	0.000185	-0.00216***
	(0.000195)	(0.000277)	(0.000224)	(0.000252)	(0.000212)	(0.000228)	(0.000394)	(0.000219)	(0.000335)	(0.000377)	(0.000318)	(0.000341)	(0.000324)	(0.000487)	(0.000235)	(0.000267)	(0.000293)	(0.000307)	(0.000283)	(0.000298)	(0.000288)	(0.000394)	(0.000270)	(0.000266)	(0.000293)	(0.000195)	(0.000239)	(0.000369)	(0.000281)	(0.000225)	(0.000298)	(0.000432)	(0.000286)	(0.000273)	(0.000349)	(0.000248)	(0.000352)	(0.000265)	(0.000239)	(0.000157)	(0.000321)	(0.000310)	(0.000270)	(0.000281)	(0.000264)	(0.000322)	(0.000302)	(0.000205)	(0.000460)	(0.000303)	(0.000271)	(0.000256)	(0.000326)	(0.000200)	(0.000160)
st093q01ta_binary_urban_du_y	0.0654	0.0921	0.0307	-0.0278	-0.0328	0.0337	-0.0908	-0.0220	-0.0455	-0.0515	-0.111**	-0.0504	0.0700	-0.0940	0.0257	0.0750	0.0278	0.000590	-0.0848*		-0.0867	-0.139**	0.0152	0.0104	0.0682	0.0402	0.0900	0.167***	0.00891	-0.0600	-0.0713	0.0275	0.0931**	-0.127***	0.0398	0.0523	-0.0238	-0.125**	-0.0161	-0.00770	-0.0190		-0.133	0.0186	-0.0225	-0.102	-0.232***	-0.264***	-0.0394	0.00850	0.113**	0.0490	0.00427	-0.0301	0.0115
	(0.0462)	(0.0592)	(0.0497)	(0.0395)	(0.0402)	(0.0367)	(0.0578)	(0.0385)	(0.0521)	(0.0693)	(0.0486)	(0.0648)	(0.0982)	(0.0755)	(0.0421)	(0.0667)	(0.0481)	(0.0724)	(0.0461)		(0.0576)	(0.0616)	(0.0443)	(0.0540)	(0.0504)	(0.0475)	(0.0571)	(0.0573)	(0.0364)	(0.0488)	(0.304)	(0.0576)	(0.0386)	(0.0461)	(0.0729)	(0.0420)	(0.0610)	(0.0547)	(0.0452)	(0.0257)	(0.0490)		(0.101)	(0.0535)	(0.0407)	(0.0689)	(0.0797)	(0.0432)	(0.0646)	(0.0488)	(0.0545)	(0.0515)	(0.0441)	(0.0452)	(0.0242)
st093q01ta_binary__cons	-0.249***	-0.755***	0.0923	1.325***	0.814***	-0.234**	0.656***	0.0213	2.014***	0.834***	-0.0510	-0.0931	-0.610***	1.766***	0.139	-0.898***	0.132	-1.234***	0.884***	-0.102	-0.0428	-0.570***	-0.352***	0.360***	-0.164	-0.440***	0.0561	0.261	-0.101	-0.632***	-0.0638	0.938***	1.055***	-0.0369	-0.278	-0.180	1.499***	-0.155	-0.124	1.408***	-0.00551	0.0877	0.751***	-0.865***	0.0997	-0.447***	0.938***	1.215***	1.205***	1.211***	-0.213	0.0325	1.445***	0.00145	0.183**
	(0.0962)	(0.137)	(0.117)	(0.0975)	(0.0964)	(0.118)	(0.164)	(0.111)	(0.137)	(0.158)	(0.152)	(0.166)	(0.165)	(0.162)	(0.127)	(0.145)	(0.147)	(0.163)	(0.126)	(0.152)	(0.141)	(0.191)	(0.132)	(0.129)	(0.138)	(0.115)	(0.129)	(0.176)	(0.134)	(0.109)	(0.320)	(0.179)	(0.116)	(0.145)	(0.184)	(0.124)	(0.141)	(0.135)	(0.120)	(0.0673)	(0.149)	(0.175)	(0.121)	(0.149)	(0.133)	(0.164)	(0.126)	(0.0930)	(0.179)	(0.124)	(0.143)	(0.125)	(0.133)	(0.101)	(0.0795)
o.st093q01ta_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
